Question,Answer
What support can I expect?,"As a Swinburne Online student, you’ll have support for extended hours, seven days a week, with Student Advisors available to help with anything from tech support to research advice and dedicated online tutors in each of your units. Learn more aboutyour support."
Is an MBA too advanced for someone who has never studied?,"Yes, Swinburne Online’s MBA is a postgraduate degree, meaning that previous tertiary study is an entry requirement for the course. If you have not studied at a tertiary level before, you may seek entry into the course via theGraduate Certificate of Business Administration. See the entry requirements for more information."
"As I am studying online, can I pursue full-time opportunities throughout my studies?","Yes, there are no requisite live or in-person sessions, so you can elect to study anytime, anywhere. If you find the combination of full-time work and full-time study to be too much, you can choose to study part-time."
Do these degrees provide any networking opportunities?,"When you complete an MBA with Swinburne Online, you will be rewarded with not only a top-tier master’s qualification, but also a valuable network of like-minded business professionals. Forge connections, motivate one another and share opportunities and ideas that you can continue to draw upon long after graduation."
How will Swinburne prepare me for future job opportunities?,"Your Master of Business Administration will give you the decisive vision and professional agility needed to stand apart from your peers. Gain the advanced skills essential to excelling as a leader in business. Leverage your MBA to grow your business as an entrepreneur, or step up into a senior management position."
"With an MBA, does the institution matter?","Different universities structure their MBAs in different ways. Swinburne Online’s MBA is highly flexible, meaning that you can tailor the course content to suit your specific interests and career goals. Additionally, Swinburne University’s MBA has a Tier-1 rating and is in the top Online MBAs inCEO Magazine’s2022 Global Rankings, and isaccredited by the Association to Advance Collegiate Schools of Business (AACSB), a globally recognised business school standard achieved by less than 5 per cent of business schools worldwide. When you complete your MBA with Swinburne Online, you will receive the same globally recognised MBA as on-campus students, without having to attend any in-person or live teaching sessions."
As a business leader/owner what value can an MBA add that I do not gain in my current vocation?,"An MBA will enhance your professional skillset and give you the tools to grow your customer base, output and profit margin. With new insights into contemporary business practice, you will be ready to strategically upscale your processes and take your business to the next level."
What job opportunities require an MBA?,An MBA signals to employers your readiness for a senior management position. An MBA is an advantage or requirement for employment in the following roles:Senior AssociateStrategic ManagerExecutive General ManagerManaging DirectorChief Operating OfficerChief Executive Officer (CEO).
Is an MBA still necessary in 2022?,"An MBA will equip you with the skills needed to thrive in business: strategy, innovation, marketing and management. Additionally, it signals to employers your readiness for a senior management position. The2021 GMAC Corporate Recruiters Surveyrevealed that worldwide, 91 per cent of recruiters planned to hire MBAs that year, and that demand for graduate management talent has now returned to pre-pandemic levels. Additionally, an MBA from Swinburne Online is globally recognised, meaning that your qualification could create opportunities worldwide."
What is the likelihood of employment with an MBA?,"A survey of recent Swinburne Online graduates revealed that 90 per cent of Business alumni were employed full-time. This comes as no surprise as the2021 GMAC Corporate Recruiters Surveyrevealed that worldwide, 91 per cent of recruiters planned to hire MBAs that year, and that demand for graduate management talent has now returned to pre-pandemic levels."
Is there a pay increase between undergraduate and MBA students?,"In 2020, the Australian Government Department of Education, Skills and EmploymentGraduate Outcomes Surveyfound that working professionals without a postgraduate degree received a median salary of $64,000 per year, while those with a postgraduate degree in addition to their undergrad degree earned on average $98,000 per year. TheAustralian Financial Reviewreported in its 2019 MBA Rankings that Australian MBA graduates see an averagesalary increase of 28 per cent to reach $157,000within three years of completing their course."
Why should I choose Swinburne over different providers?,"Swinburne University’s MBA has a Tier-1 rating and is in the top Online MBAs inCEO Magazine’s2022 Global Rankings. It is alsoaccredited by the Association to Advance Collegiate Schools of Business (AACSB), a globally recognised business school standard achieved by less than 5 per cent of business schools worldwide. When you complete your MBA with Swinburne Online, you will receive the same globally recognised MBA as on-campus students, without having to attend any in-person or live teaching sessions. Swinburne Online’s MBA is highly flexible, meaning that you can tailor the course content to suit your specific interests and career goals."
What quantitative value can I hope for in taking on an MBA?,"A survey of recent Swinburne Online graduates revealed that 90 per cent of Business alumni were employed full-time. This comes as no surprise as the2021 GMAC Corporate Recruiters Surveyrevealed that worldwide, 91 per cent of recruiters planned to hire MBAs that year, and that demand for graduate management talent has now returned to pre-pandemic levels.With a new job title, you can expect an increased salary.Australian Financial Reviewreported in its 2019 MBA Rankings that Australian MBA graduates seean average salary increase of 28 per cent to reach $157,000within three years of completing their course."
Is STARS paid?,All students enrolled into the STARS program will receive a $900 Stipend to assist with the cost of their study or professional placement.
Are STARS placements extra placements or part of my course?,The STARS professional placements are part of the required professional placements in your course. They are not extra placements.
Can I complete my two STARS placements in the school that I am doing Permission To Teach (PTT) work? The school fits the low-socioeconomic criteria and have said they would be happy for me do my STARS placements there.,"You will be able to complete your final two placements through the STARS program at your school. You will also be able to continue with PTT across the year. For example, it may be that you have a split, perhaps three days in STARS and two days in PTT. The STARS part would need to be supervised and would also allow you to do the GTPA (final placement assessment). After you have submitted your application for the STARS program, please reach out to Jade on this email address: edpartnerships@swinburneonline.com and she will be able to assist you in negotiating this with your school."
"When Swinburne matches the student to the placement school, what is the criteria for travel expectations, will Swinburne match me to somewhere within a reasonable distance from my home or could it be anywhere in regional/rural Victoria?","Swinburne will try to match you to a school as close as possible to your usual place of residence. The maximum travel time from your home to the school will be 90 minutes however, every endeavour will be made to try to ensure it is less than this."
When do the STARS Canvas modules open? Would I be able to have access to them at the start of the teaching period as I'd like to work on the STARS module before placement?,"The STARS modules remain open all the time, so you will be able to complete the module work at a time that suits you. There are five modules, each with approximately 1.5–2 hours of reading and activities. Allow 7.5–10 hours in total to complete the STARS modules."
What will I receive at completion of this program?,You will receive a certificate of completion outlining your completion of the program. This certificate will be a valuable addition to your resume when applying for graduate teaching positions.
Will there be any financial support for travel or accommodation to undertake a placement in regional or remote Victoria?,"No, all costs associated with travel or accommodation will be incurred by the pre-service teacher. We hope to match pre-service teachers with a school in their area. If you are a successful applicant, and there may be travel involved for you to get to the school. We will discuss with you the situation before matching you to the school."
