Question,Label
What support can I expect?,0
Is an MBA too advanced for someone who has never studied?,0
"As I am studying online, can I pursue full-time opportunities throughout my studies?",0
Do these degrees provide any networking opportunities?,0
How will Swinburne prepare me for future job opportunities?,0
"With an MBA, does the institution matter?",0
As a business leader/owner what value can an MBA add that I do not gain in my current vocation?,0
What job opportunities require an MBA?,0
Is an MBA still necessary in 2022?,0
What is the likelihood of employment with an MBA?,0
Is there a pay increase between undergraduate and MBA students?,0
Why should I choose Swinburne over different providers?,0
What quantitative value can I hope for in taking on an MBA?,0
Is STARS paid?,0
Are STARS placements extra placements or part of my course?,0
Can I complete my two STARS placements in the school that I am doing Permission To Teach (PTT) work? The school fits the low-socioeconomic criteria and have said they would be happy for me do my STARS placements there.,0
"When Swinburne matches the student to the placement school, what is the criteria for travel expectations, will Swinburne match me to somewhere within a reasonable distance from my home or could it be anywhere in regional/rural Victoria?",0
When do the STARS Canvas modules open? Would I be able to have access to them at the start of the teaching period as I'd like to work on the STARS module before placement?,0
What will I receive at completion of this program?,0
Will there be any financial support for travel or accommodation to undertake a placement in regional or remote Victoria?,0
"I have secured a placement in a school setting that is not a regional, remote or low socioeconomic school. If I am successful in my application will you help me change to a STARS-approved school setting?",0
I am a Master of Teaching (Secondary) student applying for the STARS program. Does it matter the year level of placement or my Specialist Teaching Area?,0
What if I have already organised my placement/s? Can I still participate in the program?,0
How do I organise a placement in a STARS-approved school setting?,0
What schools can I do my placement in as part of the STARS program?,0
How many practicums will I need to complete during the STARS program?,0
How will the STARS program fit in with my current units of study?,0
How many pre-service teachers can partake in the STARS program for 2022–2023 year?,0
When does the STARS program commence?,0
What if I want to continue studying after 1 December 2020?,0
Can I enrol in a Professional Certificate?,0
What is a Professional Certificate?,0
What if I only want to complete two units?,0
Can I obtain help to defer payment?,0
How do I ensure I’m enrolled with a discounted fee?,0
Why are these courses discounted?,0
What is the entry criteria?,0
What units will I study?,0
Is the whole course discounted?,0
Will you be offering courses as part of the government’s higher education relief package?,0
Will I receive the same qualification as an on-campus student?,0
Will I receive credit for my previous studies?,0
Will I need to be screened to work with children?,0
Will I need to attend placements to complete the Diploma of Nursing?,0
Will I have to sit exams in the Diploma of Nursing?,0
Will I ever need to go to a campus?,0
Will I be studying alone?,0
Will I be charged interest on my HECS-HELP loan?,0
Why is the Diploma of Nursing changing?,0
Why is Swinburne Online a good study option during isolation?,0
Who can I contact for support during my studies?,0
Who can help me put together a study plan for my course?,0
Who can help me if I am having technological difficulties?,0
Which units should I start with?,0
Which units can I take as electives?,0
Where can I study online from?,0
Where can I go for career advice?,0
Where can I get important information about the VET Student Loan Program?,0
Where can I get English language support?,0
Where can I get assessment support?,0
Where can I find out more about VET Student Loans?,0
Where are Swinburne Online’s exam centres located?,0
When will Swinburne Online be releasing the new Diploma of Nursing?,0
When is the cut-off date for enrolment?,0
What’s changing in the Diploma of Nursing?,0
What sort of career prospects do I have with an online qualification?,0
What resources are available to alumni once they have graduated?,0
What level of English language proficiency do I need to study an undergraduate degree at Swinburne Online?,0
What level of English language proficiency do I need to study a Masters at Swinburne Online?,0
What kind of support do you offer to your online students?,0
What is VET?,0
What is Undergraduate Study?,0
What is the Tableau Desktop Certified Specialist certification?,0
What is the Student Amenities Help fee for and why do I have to pay it?,0
What is the relationship between Swinburne University of Technology and Swinburne Online?,0
What is the difference between a degree and a diploma?,0
What is TAFE?,0
What is Postgraduate Study?,0
What is online education?,0
What is Higher Education?,0
What is HECS-HELP?,0
What is Distance Education?,0
What is an Honours Degree?,0
What is an e-Learning Advisor and how can I contact them?,0
What is a virtual classroom?,0
What is an e-Learning Advisor and how can I contact them?,0
What is a specialisation?,0
What is a pre-requisite?,0
What is a PhD?,0
What is a Masters Degree?,0
What is a major unit?,0
What is a Graduate Diploma?,0
What is a Graduate Certificate?,0
What is a Grade Point Average (GPA)?,0
What is a good option for upskilling during this time?,0
What is a Double Degree?,0
What is a Diploma?,0
What is a Commonwealth Supported Place?,0
What is a Certificate?,0
What is a Bachelor Degree?,0
What happens if I don’t pay my fees on time?,0
What devices will I need to complete my qualification?,0
"What are the main differences between online, on-campus and distance education?",0
What are the entry requirements for the Diploma of Nursing?,0
What are the entry requirements for TAFE Business courses?,0
What are the benefits of acquiring a Tableau certification?,0
What are placements?,0
What are exemptions?,0
What are electives and why do I need to study them?,0
What are core units?,0
Should I start studying now?,0
Is there fee or financial assistance for Postgraduate Degrees?,0
Is there fee or financial assistance for international students?,0
Is there a graduation ceremony?,0
Is now a good time to look at a career change?,0
Is anyone eligible for a VSL?,0
Is an online qualification a real qualification?,0
"If I have just completed Year 12, can I apply to enrol in your March intake (Teaching Period 1)?",0
If I have a VSL can I withdraw from my course?,0
"I’m studying a TAFE Business course, will I have to sit exams?",0
"I’m studying a degree, will I have to sit exams?",0
"I’m interested in becoming a teacher. How will teaching placements work, given that your degrees are online?",0
I'm not sure what to study. Who can help me?,0
I'm not sure if I meet the entry requirements but I want to study. What should I do?,0
"I currently work at an early childhood service, primary or secondary school, can I do my teaching placement at my workplace?",0
How will a credit for previous studies appear on my transcript?,0
How much will my course cost?,0
How many units can I undertake per teaching period?,0
How many placements do I have to do?,0
How many hours of study per week are recommended per unit?,0
How many alumni are there?,0
How long will my application take to be assessed?,0
How long will it take to earn my degree?,0
How long has Swinburne been around for?,0
How does your model of online study work for the Diploma of Nursing?,0
How does your model of online study work for TAFE?,0
How does your model of online study work for higher education if there are no lectures?,0
How does Swinburne University of Technology rate against other universities?,0
How does online study work?,0
How do I stay on track with my study?,0
How do I repay my HELP loan?,0
How do I apply to enrol in a degree or a diploma?,0
How do exams work?,0
How do assessments work?,0
How can I get in touch with other students?,0
How are my placements arranged?,0
Has Swinburne Online been affected by COVID-19?,0
Does the Graduate Certification in Professional Data Analytics prepare me for the Tableau Desktop Certified Specialist certification exam?,0
"Do you offer online support, or will I need to figure it all out myself?",0
Do you offer HECS-HELP and FEE-HELP?,0
Do you have postgraduate programs?,0
Do you have a head office somewhere if I want to meet someone face-to-face about my course?,0
Do you accept international students?,0
Do I need to purchase any learning materials for the Diploma of Nursing?,0
Do I need to be logged on to study at specific times?,0
Do I need fancy software?,0
Do I have to purchase learning materials?,0
Do I have to pay for my studies upfront?,0
Can I study abroad?,0
Can I study a mixture of on-campus and online units?,0
Can I do my education placement outside of Australia?,0
Can I cover the cost of my Introductory Skill Set Course using VET Student Loan?,0
Are there dates I need to think about when applying for a VSL?,0
Are the education degrees nationally recognised?,0
Are the courses the same as the on-campus courses?,0
Are Postgraduate students eligible for Commonwealth Supported Places (CSP)?,0
Are placements available part time for education students?,0
Are exams only held at the end of each teaching period?,0
Am I eligible for a student concession card when studying online?,0
Am I eligible for a Commonwealth Supported Place and a HELP loan?,0
Am I able to study at Swinburne Online if I don't live in Victoria?,0
What kind of support can I expect?,0
What kind of support can I expect?,0
What assistance can I expect?,0
Is MBA too advanced for someone who has never studied?,0
Is an MBA a wise career move for someone with no prior experience?,0
Is an MBA too advanced for someone who has never studied?,0
"As I am studying online, can I pursue full time opportunities throughout my studies?",0
Is it possible for me to pursue my education online on a full-time basis?,0
Can I pursue full-time jobs throughout my studies as I am learning online?,0
Do these degrees provide any networking opportunities?,0
Are there any networking prospects available with these degrees?,0
Is there any networking opportunities for these degrees?,0
How will Swinburne prepare me for future job opportunities?,0
What are my chances of finding a job at Swinburne and how will it benefit me?,0
How can Swinburne prepare me for future career paths?,0
Does the institution matter with an MBA?,0
Is the choice of MBA program important in determining career prospects?,0
"Does the institution matter? With an MBA, does the university matter?",0
What value can an MBA add that I do not gain in my current vocation?,0
In what ways can an MBA degree benefit me as a business leader/owner in a way that is not available in my current profession?,0
What value can an MBA bring that I do not gain in my current career as a business leader/owner?,0
What are the job opportunities after doing an MBA?,0
What are the job prospects for someone with an MBA degree?,0
An MBA is required for certain career paths. What job opportunities require an MBA?,0
Is MBA still necessary in 2022?,0
Will I still be able to pursue an MBA in 2022?,0
Is an MBA still needed in 2022? Is an MBA still needed in 2022?,0
What is the likelihood of employment after doing an MBA?,0
What are the chances of getting a job with an MBA degree?,0
What is the likelihood of working with an MBA?,0
What is the salary of an MBA student?,0
"Is there a difference in remuneration between undergraduate and MBA students, and if so, is it higher?",0
Is there a wage increase for undergraduate and MBA students?,0
Why should I choose Swinburne over other providers?,0
How does Swinburne compare to other providers in terms of customer satisfaction?,0
Why should I choose Swinburne over other providers?,0
What quantitative value can I hope for in taking on an MBA?,0
What quantitative edge can I expect to gain from completing an MBA program?,0
What quantitative value can I expect from taking on an MBA?,0
Are stars paid?,0
Does STARS pay its employees?,0
Is STARS compensated? Is STARS compensated?,0
Are STARS placements extra placements or part of my course?,0
Do STARS placements count as additional placements or as a component of my course?,0
Is STARS placements extra placements or part of my curriculum?,0
Can I complete my two STARS placements in the school that I am doing Permission To Teach (PTT) work? The school fits the low-socioeconomic criteria and have said they would be happy for me to do my STARS placement there?,0
Is it possible for me to complete my two STARS placements in the school that I am currently studying Permission To Teach (PTT)?,0
Can I complete my two STARS placements in the school where I am doing Permission To Teach (PTT) work? The school has stated that they would be able to accommodate me for my STARS placements there.,0
Will Swinburne match me to somewhere within a reasonable distance from my home or could it be anywhere in regional/rural Victoria?,0
What are the travel requirements for a student placed in Swinburne's placement school? Will Swinburne match me to a place within a reasonable distance of my home or could they match me to a regional/rural Victoria location?,0
"Will Swinburne match me to somewhere within a reasonable distance from my house or could it be somewhere in regional/rural Victoria? When Swinburne matches the student to the placement school, what is the standard for travel plans?",0
When do theSTARS Canvas modules open? Would I be able to have access to them at the start of the teaching period as I'd like to work on the STARS module before placement?,0
When will the STARS Canvas modules become available? Is it possible to access them at the beginning of the teaching period as I'd like to work on the STARS module before placement?,0
When are the STARS Canvas modules open? Will I be able to have access to them at the start of the course as I'd like to work on the STARS module before placement?,0
What will I receive after completing this program?,0
What are the contents of this program that I can expect to receive once I finish it?,0
What will I get at the end of this program?,0
Will there be any financial support for travel or accommodation to undertake a placement in regional or remote Victoria?,0
Is there any financial assistance available for travel and accommodation expenses while pursuing a placement in a regional or remote location in Victoria?,0
Is there any budgetary funding for travel or accommodation to undertake a placement in regional or remote Victoria?,0
"I secured a placement in a school setting that is not a regional, remote or low socioeconomic school. If I am successful in my application will you help me change to a STARS-approved school setting?",0
"Can you assist me in changing my school setting from a regional, remote or low socioeconomic school to a STARS-approved school setting if I am successful in securing a placement in a non-regional, remote or low socioeconomic school?",0
"If I am successful in my application, will you help me transfer to a STARS-approved school setting?",0
I am a Master of teaching (Secondary) student applying for the STARS program. Does it matter the year level of placement or my Specialist teaching Area?,0
Should I focus on my Specialist Teaching Area or the year level of my Master of Teaching (Secondary) when applying for the STARS program?,0
Does it matter the year level of placement or my Specialist Teaching Area? I am a Master of Teaching (Secondary) student enrolling in the STARS program.,0
What if I have already organised my placement/s? Can I still participate in the program?,0
