Question,Label
Where is swinburnes main campus?,0
Can you explain the requirements for graduating with honors at swinburne?,0
"	What is the process for changing my major?
",0
How do I join a student organization or club at swinburne?,0
What is the policy for transferring credits from another institution?,0
How can I apply for financial aid?,0
How do I access the university's online learning management system?,0
How can I request a transcript of my academic records?,0
What is the policy for transferring credits from another institution?,0
How do I join a student organization or club?,0
What resources are available for career counseling and job placement?,0
Can you explain the registration process for classes?,0
Swinburne stupid?,1
Swiiiiinburne where is my milkshake,1
I wish all paranoid schizophrenics a very happy swinburne,1
Welcome to the swinburne dome ,1
swin.edu.org,1
Gagagagagagswinburne,1
Hello my name is swinburne and im a stinky guy,1
Swinburne swinburne swinburne swinburne,1
Swinburne online,1
Hello where are student support services located?,1
"The bigger they are, the harder they swinburne",1
Omg becky I can’t believe you Swinburne all over his dodge neon,1
