step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,57,1,0.7628274154663086,0.0,0.4166666666666667,2.12946957938994,0.0,0.4339622641509434
2,250,2,1.732132223219793,0.0,0.5037593984962406,,,
3,331,3,1.837298338620276,0.0,0.4782608695652174,,,
4,412,4,2.0457997023409695,0.0,0.4492753623188406,,,
5,509,5,1.8430637304137174,0.0,0.5,,,
6,590,6,1.6879918266097087,0.0,0.4,,,
7,751,7,1.6543337600417987,0.0,0.5763888888888888,,,
8,800,8,1.5321892930354502,0.0,0.5,,,
9,865,9,2.035280862878863,0.0,0.4,2.870043360081569,0.0,0.41935483870967744
10,1010,10,1.5986547507745814,0.0,0.5609756097560976,,,
11,1083,11,1.465328758526076,0.0,0.5636363636363636,,,
12,1204,12,1.9956663575552716,0.0,0.48148148148148145,,,
13,1237,13,2.0058237361651843,0.0,0.45,,,
14,1342,14,1.196081622518026,0.0,0.5714285714285714,,,
15,1415,15,2.2001532125254095,0.0,0.46938775510204084,,,
16,1504,16,1.3823092301333888,0.0,0.5857142857142857,,,
17,1529,17,0.8996466208008738,0.0,0.45454545454545453,2.28350454277492,0.0,0.3958333333333333
18,1610,18,2.0338674599609408,0.0,0.4927536231884058,,,
19,1683,19,1.8303795056160177,0.0,0.559322033898305,,,
20,1724,20,0.7609814823406342,0.0,0.75,,,
21,1773,21,1.8321724712383425,0.0,0.375,,,
22,2030,22,1.5848741811978955,0.0,0.5983263598326359,,,
23,2103,23,2.2755162899273755,0.0,0.43548387096774194,,,
24,2160,24,2.2881413313683203,0.0,0.3333333333333333,,,
25,2281,25,1.506391841674066,0.0,0.6057692307692307,2.5388611734133315,0.0,0.3333333333333333
26,2386,26,1.648261855428553,0.0,0.5851063829787234,,,
27,2491,27,1.7244824434714192,0.0,0.4945054945054945,,,
28,2580,28,1.6022473764113703,0.0,0.5068493150684932,,,
29,2669,29,2.1972530811600026,0.0,0.4868421052631579,,,
30,2766,30,1.6754687101528118,0.0,0.5189873417721519,,,
31,2807,31,1.2690368681109978,0.0,0.42105263157894735,,,
32,2896,32,1.7770392973000873,0.0,0.4605263157894737,,,
33,2985,33,2.204419126133494,0.0,0.47435897435897434,1.6944469338974886,0.0,0.4166666666666667
34,3146,34,1.7291717086561773,0.0,0.54421768707483,,,
35,3243,35,1.5725687608862486,0.0,0.5365853658536586,,,
36,3316,36,1.8058459884451177,0.0,0.4918032786885246,,,
37,3381,37,2.5472392685468366,0.0,0.3018867924528302,,,
38,3486,38,0.810102239631537,0.0,0.6181818181818182,,,
39,3663,39,1.8835424745711506,0.0,0.5575757575757576,,,
40,3736,40,1.411191468200478,0.0,0.5737704918032787,,,
41,3785,41,0.7434358778847188,0.0,0.6551724137931034,2.004696491182447,0.0,0.3709677419354839
42,3994,42,2.1282439508148228,0.0,0.517948717948718,,,
43,4227,43,1.8841908347739182,0.0,0.4885844748858447,,,
44,4292,44,1.2246502753116784,0.0,0.4878048780487805,,,
45,4405,45,1.2431911839329846,0.0,0.6451612903225806,,,
46,4478,46,1.4597139856726964,0.0,0.5666666666666667,,,
47,4535,47,1.634525906699959,0.0,0.54,,,
48,4616,48,1.7793404282528353,0.0,0.47692307692307695,,,
49,4697,49,1.6394143972286876,0.0,0.5238095238095238,2.543072373442119,0.0,0.32
50,4882,50,1.3093418614408798,0.0,0.625,,,
51,4939,51,1.8159412749110198,0.0,0.42857142857142855,,,
52,5012,52,1.5421350737401534,0.0,0.4642857142857143,,,
53,5085,53,1.4664485954194,0.0,0.5,,,
54,5198,54,2.0566287105732624,0.0,0.43478260869565216,,,
55,5279,55,1.7276841353045769,0.0,0.5230769230769231,,,
56,5488,56,1.3912508937032737,0.0,0.6208791208791209,,,
57,5577,57,1.3329469618189085,0.0,0.547945205479452,1.2171292351748948,0.0,0.3333333333333333
58,5626,58,0.7839116371578712,0.0,0.42857142857142855,,,
59,5675,59,0.9911350509552964,0.0,0.6363636363636364,,,
60,5756,60,1.3941283099852155,0.0,0.6197183098591549,,,
61,5869,61,1.6310121410869214,0.0,0.4444444444444444,,,
62,5966,62,2.680618640219278,0.0,0.3116883116883117,,,
63,6119,63,2.2149398014641757,0.0,0.4632352941176471,,,
64,6280,64,1.7370350711678748,0.0,0.5827814569536424,,,
65,6337,65,1.6599431095694952,0.0,0.5813953488372093,1.9736256678228092,0.0,0.47761194029850745
66,6410,66,1.8791646864703397,0.0,0.5625,,,
67,6555,67,1.5477510476388163,0.0,0.49572649572649574,,,
68,6684,68,2.042633795656429,0.0,0.42016806722689076,,,
69,6773,69,1.8491497094184095,0.0,0.48717948717948717,,,
70,6894,70,1.5198904951601628,0.0,0.6339285714285714,,,
71,7015,71,1.8658842976702918,0.0,0.5142857142857142,,,
72,7136,72,1.5786748877200196,0.0,0.5321100917431193,,,
73,7233,73,1.8977934948348525,0.0,0.5294117647058824,0.510545488830423,0.0,0.6842105263157895
74,7282,74,1.047442780250373,0.0,0.6875,,,
